"Class Code","Class Name","Parameter Code","Parameter"
"CRITERIA PM","Non-gaseous criteria pollutants (e.g. PM 10, PM 2.5, and Lead)","14129","Lead (TSP) LC"
"CRITERIA PM","Non-gaseous criteria pollutants (e.g. PM 10, PM 2.5, and Lead)","85129","Lead PM10 LC FRM/FEM"
"CRITERIA PM","Non-gaseous criteria pollutants (e.g. PM 10, PM 2.5, and Lead)","81102","PM10 Total 0-10um STP"
"CRITERIA PM","Non-gaseous criteria pollutants (e.g. PM 10, PM 2.5, and Lead)","88101","PM2.5 - Local Conditions"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88380","EC CSN_Rev Unadjusted PM2.5 LC TOR"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88357","EC CSN_Rev Unadjusted PM2.5 LC TOT"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88381","EC PM2.5 LC TOT"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88383","EC1 CSN_Rev Unadjusted PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88329","EC1 PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88384","EC2 CSN_Rev Unadjusted PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88330","EC2 PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88385","EC3 CSN_Rev Unadjusted PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88331","EC3 PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","63102","Light Absorption Coeffiecient"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88370","OC CSN_Rev Unadjusted PM2.5 LC TOR"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88355","OC CSN_Rev Unadjusted PM2.5 LC TOT"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88382","OC PM2.5 LC TOT"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88374","OC1 CSN_Rev Unadjusted PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88375","OC2 CSN_Rev Unadjusted PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88376","OC3 CSN_Rev Unadjusted PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88377","OC4 CSN_Rev Unadjusted PM2.5 LC"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88378","OP CSN_Rev Unadjusted PM2.5 LC TOR"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88388","OP CSN_Rev Unadjusted PM2.5 LC TOT"
"CSN CARBON","Chemical Speciation Network Organic and Elemental Carbon","88379","OP PM2.5 LC TOT"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88104","Aluminum PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88301","Ammonium Ion PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88102","Antimony PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88103","Arsenic PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88107","Barium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88109","Bromine PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88110","Cadmium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88111","Calcium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88117","Cerium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88118","Cesium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88203","Chloride PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88115","Chlorine PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88112","Chromium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88113","Cobalt PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88114","Copper PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88321","EC PM2.5 LC TOR"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88131","Indium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88126","Iron PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88128","Lead PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88140","Magnesium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88132","Manganese PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88136","Nickel PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88320","OC PM2.5 LC TOR"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88152","Phosphorus PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88303","Potassium Ion PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88180","Potassium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88176","Rubidium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88154","Selenium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88165","Silicon PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88166","Silver PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88302","Sodium Ion Pm2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88184","Sodium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88168","Strontium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88403","Sulfate PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88169","Sulfur PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88160","Tin PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88161","Titanium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88306","Total Nitrate PM2.5 LC"
