"CBSA Code","CBSA Name","CBSA Type"
"24380","Grants, NM","Micropolitan"
"24460","Great Bend, KS","Micropolitan"
"24500","Great Falls, MT","Metropolitan"
"24540","Greeley, CO","Metropolitan"
"24580","Green Bay, WI","Metropolitan"
"24620","Greeneville, TN","Micropolitan"
"24640","Greenfield Town, MA","Micropolitan"
"24660","Greensboro-High Point, NC","Metropolitan"
"24700","Greensburg, IN","Micropolitan"
"24740","Greenville, MS","Micropolitan"
"24780","Greenville, NC","Metropolitan"
"24820","Greenville, OH","Micropolitan"
"24860","Greenville-Anderson-Mauldin, SC","Metropolitan"
"24900","Greenwood, MS","Micropolitan"
"24940","Greenwood, SC","Micropolitan"
"24980","Grenada, MS","Micropolitan"
"25020","Guayama, PR","Metropolitan"
"25060","Gulfport-Biloxi-Pascagoula, MS","Metropolitan"
"25100","Guymon, OK","Micropolitan"
"25180","Hagerstown-Martinsburg, MD-WV","Metropolitan"
"25200","Hailey, ID","Micropolitan"
"25220","Hammond, LA","Metropolitan"
"25260","Hanford-Corcoran, CA","Metropolitan"
"25300","Hannibal, MO","Micropolitan"
"25420","Harrisburg-Carlisle, PA","Metropolitan"
"25460","Harrison, AR","Micropolitan"
"25500","Harrisonburg, VA","Metropolitan"
"25540","Hartford-West Hartford-East Hartford, CT","Metropolitan"
"25580","Hastings, NE","Micropolitan"
"25620","Hattiesburg, MS","Metropolitan"
"25700","Hays, KS","Micropolitan"
"25720","Heber, UT","Micropolitan"
"25740","Helena, MT","Micropolitan"
"25760","Helena-West Helena, AR","Micropolitan"
"25780","Henderson, NC","Micropolitan"
"25820","Hereford, TX","Micropolitan"
"25840","Hermiston-Pendleton, OR","Micropolitan"
"25860","Hickory-Lenoir-Morganton, NC","Metropolitan"
"25880","Hillsdale, MI","Micropolitan"
"25900","Hilo, HI","Micropolitan"
"25940","Hilton Head Island-Bluffton-Beaufort, SC","Metropolitan"
"25980","Hinesville, GA","Metropolitan"
"26020","Hobbs, NM","Micropolitan"
"26090","Holland, MI","Micropolitan"
"26140","Homosassa Springs, FL","Metropolitan"
"26220","Hood River, OR","Micropolitan"
"26300","Hot Springs, AR","Metropolitan"
"26340","Houghton, MI","Micropolitan"
"26380","Houma-Thibodaux, LA","Metropolitan"
"26420","Houston-The Woodlands-Sugar Land, TX","Metropolitan"
"26460","Hudson, NY","Micropolitan"
"26500","Huntingdon, PA","Micropolitan"
"26540","Huntington, IN","Micropolitan"
"26580","Huntington-Ashland, WV-KY-OH","Metropolitan"
"26620","Huntsville, AL","Metropolitan"
"26660","Huntsville, TX","Micropolitan"
"26700","Huron, SD","Micropolitan"
"26740","Hutchinson, KS","Micropolitan"
"26780","Hutchinson, MN","Micropolitan"
"26820","Idaho Falls, ID","Metropolitan"
"26860","Indiana, PA","Micropolitan"
"26900","Indianapolis-Carmel-Anderson, IN","Metropolitan"
"26940","Indianola, MS","Micropolitan"
"26960","Ionia, MI","Micropolitan"
"26980","Iowa City, IA","Metropolitan"
"27020","Iron Mountain, MI-WI","Micropolitan"
"27060","Ithaca, NY","Metropolitan"
"27100","Jackson, MI","Metropolitan"
"27140","Jackson, MS","Metropolitan"
"27160","Jackson, OH","Micropolitan"
"27180","Jackson, TN","Metropolitan"
"27220","Jackson, WY-ID","Micropolitan"
"27260","Jacksonville, FL","Metropolitan"
"27300","Jacksonville, IL","Micropolitan"
"27340","Jacksonville, NC","Metropolitan"
"27380","Jacksonville, TX","Micropolitan"
"27420","Jamestown, ND","Micropolitan"
"27460","Jamestown-Dunkirk-Fredonia, NY","Micropolitan"
"27500","Janesville-Beloit, WI","Metropolitan"
"27540","Jasper, IN","Micropolitan"
"27580","Jayuya, PR","Micropolitan"
"27620","Jefferson City, MO","Metropolitan"
"27600","Jefferson, GA","Micropolitan"
"27700","Jesup, GA","Micropolitan"
"27740","Johnson City, TN","Metropolitan"
"27780","Johnstown, PA","Metropolitan"
"27860","Jonesboro, AR","Metropolitan"
"27900","Joplin, MO","Metropolitan"
"27920","Junction City, KS","Micropolitan"
"27940","Juneau, AK","Micropolitan"
"27980","Kahului-Wailuku-Lahaina, HI","Metropolitan"
"28020","Kalamazoo-Portage, MI","Metropolitan"
"28060","Kalispell, MT","Micropolitan"
"28100","Kankakee, IL","Metropolitan"
"28140","Kansas City, MO-KS","Metropolitan"
"28180","Kapaa, HI","Micropolitan"
"28260","Kearney, NE","Micropolitan"
"28300","Keene, NH","Micropolitan"
"28340","Kendallville, IN","Micropolitan"
"28380","Kennett, MO","Micropolitan"
"28420","Kennewick-Richland, WA","Metropolitan"
"28500","Kerrville, TX","Micropolitan"
"28540","Ketchikan, AK","Micropolitan"
"28580","Key West, FL","Micropolitan"
"28620","Kill Devil Hills, NC","Micropolitan"
"28660","Killeen-Temple, TX","Metropolitan"
"28700","Kingsport-Bristol-Bristol, TN-VA","Metropolitan"
"28740","Kingston, NY","Metropolitan"
"28780","Kingsville, TX","Micropolitan"
"28820","Kinston, NC","Micropolitan"
"28860","Kirksville, MO","Micropolitan"
"28900","Klamath Falls, OR","Micropolitan"
"28940","Knoxville, TN","Metropolitan"
"29020","Kokomo, IN","Metropolitan"
"29100","La Crosse-Onalaska, WI-MN","Metropolitan"
"29260","La Grande, OR","Micropolitan"
"29300","LaGrange, GA","Micropolitan"
"29060","Laconia, NH","Micropolitan"
"29180","Lafayette, LA","Metropolitan"
"29200","Lafayette-West Lafayette, IN","Metropolitan"
"29340","Lake Charles, LA","Metropolitan"
"29380","Lake City, FL","Micropolitan"
"29420","Lake Havasu City-Kingman, AZ","Metropolitan"
"29460","Lakeland-Winter Haven, FL","Metropolitan"
"29500","Lamesa, TX","Micropolitan"
"29540","Lancaster, PA","Metropolitan"
"29620","Lansing-East Lansing, MI","Metropolitan"
"29660","Laramie, WY","Micropolitan"
"29700","Laredo, TX","Metropolitan"
"29740","Las Cruces, NM","Metropolitan"
"29780","Las Vegas, NM","Micropolitan"
"29820","Las Vegas-Henderson-Paradise, NV","Metropolitan"
"29860","Laurel, MS","Micropolitan"
"29900","Laurinburg, NC","Micropolitan"
"29940","Lawrence, KS","Metropolitan"
"29980","Lawrenceburg, TN","Micropolitan"
"30020","Lawton, OK","Metropolitan"
"30060","Lebanon, MO","Micropolitan"
"30140","Lebanon, PA","Metropolitan"
"30220","Levelland, TX","Micropolitan"
"30260","Lewisburg, PA","Micropolitan"
"30280","Lewisburg, TN","Micropolitan"
"30300","Lewiston, ID-WA","Metropolitan"
"30340","Lewiston-Auburn, ME","Metropolitan"
"30380","Lewistown, PA","Micropolitan"
"30420","Lexington, NE","Micropolitan"
"30460","Lexington-Fayette, KY","Metropolitan"
"30580","Liberal, KS","Micropolitan"
"30620","Lima, OH","Metropolitan"
"30660","Lincoln, IL","Micropolitan"
"30700","Lincoln, NE","Metropolitan"
"30780","Little Rock-North Little Rock-Conway, AR","Metropolitan"
"30820","Lock Haven, PA","Micropolitan"
"30860","Logan, UT-ID","Metropolitan"
"30880","Logan, WV","Micropolitan"
"30900","Logansport, IN","Micropolitan"
"30940","London, KY","Micropolitan"
"30980","Longview, TX","Metropolitan"
"31020","Longview, WA","Metropolitan"
"31060","Los Alamos, NM","Micropolitan"
"31080","Los Angeles-Long Beach-Anaheim, CA","Metropolitan"
"31140","Louisville/Jefferson County, KY-IN","Metropolitan"
"31180","Lubbock, TX","Metropolitan"
"31220","Ludington, MI","Micropolitan"
"31260","Lufkin, TX","Micropolitan"
"31300","Lumberton, NC","Micropolitan"
"31340","Lynchburg, VA","Metropolitan"
"31380","Macomb, IL","Micropolitan"
"31420","Macon, GA","Metropolitan"
